,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
144,71,1547.661259,6.699999999999999e-30,2.730e-09.0354.0380,791.40310.720.000000,X,1,X,0,Q,23Q,22,q50262049,112,9,4,0.0,45.0,45.0
145,71,1547.665316,6.899999999999999e-30,2.715e-09.0354.0380,793.20870.720.000000,X,1,X,0,Q,23Q,23,q50262049,112,9,4,0.0,47.0,47.0
146,71,1547.665316,3.1699999999999997e-34,1.247e-13.0354.0380,793.20870.720.000000,X,1,X,0,Q,23Q,23,d50262049,112,9,4,0.0,47.0,47.0
147,71,1547.903626,1.2e-30,8.536e-10.0352.0370,931.74310.720.000000,X,1,X,0,Q,25R,24,d50262049,112,9,4,0.0,51.0,49.0
148,71,1547.903626,1.83e-32,1.302e-11.0352.0370,931.74310.720.000000,X,1,X,0,Q,25R,24,q50262049,112,9,4,0.0,51.0,49.0
149,71,1548.2399619999999,1.4599999999999999e-31,1.989e-11.0370.0400,546.70420.720.000000,X,1,X,0,Q,19R,19,q50662049,112,9,4,0.0,41.0,39.0
150,71,1548.2399619999999,5.7699999999999996e-30,7.860e-10.0370.0400,546.70420.720.000000,X,1,X,0,Q,19R,19,d50662049,112,9,4,0.0,41.0,39.0
151,71,1548.30954,1.7399999999999998e-32,1.236e-11.0352.0370,931.33720.720.000000,X,1,X,0,Q,25P,26,q50262049,112,9,4,0.0,51.0,53.0
152,71,1548.30954,1.17e-30,8.311e-10.0352.0370,931.33720.720.000000,X,1,X,0,Q,25P,26,d50262049,112,9,4,0.0,51.0,53.0
153,71,1548.538728,1.57e-31,2.371e-11.0370.0400,546.70420.720.000000,X,1,X,0,Q,19P,19,q50662049,112,9,4,0.0,37.0,39.0
154,71,1548.538728,6.0099999999999994e-30,9.075e-10.0370.0400,546.70420.720.000000,X,1,X,0,Q,19P,19,d50662049,112,9,4,0.0,37.0,39.0
155,71,1549.082548,1.26e-29,2.743e-09.0356.0390,662.10200.720.000000,X,1,X,0,Q,21Q,22,q50262049,112,9,4,0.0,45.0,45.0
156,71,1549.082548,2.02e-29,4.398e-09.0356.0390,662.10200.720.000000,X,1,X,0,Q,21Q,22,d50262049,112,9,4,0.0,45.0,45.0
157,71,1549.0842289999998,1.86e-29,4.452e-09.0356.0390,662.43590.720.000000,X,1,X,0,Q,21Q,20,d50262049,112,9,4,0.0,41.0,41.0
158,71,1549.0842289999998,1.14e-29,2.729e-09.0356.0390,662.43590.720.000000,X,1,X,0,Q,21Q,20,q50262049,112,9,4,0.0,41.0,41.0
159,71,1549.088277,1.18e-29,2.717e-09.0356.0390,664.25950.720.000000,X,1,X,0,Q,21Q,21,q50262049,112,9,4,0.0,43.0,43.0
160,71,1549.088277,6.489999999999999e-34,1.494e-13.0356.0390,664.25950.720.000000,X,1,X,0,Q,21Q,21,d50262049,112,9,4,0.0,43.0,43.0
161,71,1549.428604,2.72e-31,2.455e-11.0389.0410,440.56180.720.000000,X,1,X,0,Q,17R,17,q50662049,112,9,4,0.0,37.0,35.0
162,71,1549.428604,8.67e-30,7.824e-10.0389.0410,440.56180.720.000000,X,1,X,0,Q,17R,17,d50662049,112,9,4,0.0,37.0,35.0
163,71,1549.470899,2.2e-30,8.602e-10.0354.0380,791.40310.720.000000,X,1,X,0,Q,23R,22,d50262049,112,9,4,0.0,47.0,45.0
164,71,1549.470899,3.95e-32,1.544e-11.0354.0380,791.40310.720.000000,X,1,X,0,Q,23R,22,q50262049,112,9,4,0.0,47.0,45.0
165,71,1549.689973,9.06e-30,9.170e-10.0389.0410,440.56180.720.000000,X,1,X,0,Q,17P,17,d50662049,112,9,4,0.0,33.0,35.0
166,71,1549.689973,2.9499999999999997e-31,2.986e-11.0389.0410,440.56180.720.000000,X,1,X,0,Q,17P,17,q50662049,112,9,4,0.0,33.0,35.0
167,71,1549.8409570000001,2.13e-30,8.317e-10.0354.0380,791.03310.720.000000,X,1,X,0,Q,23P,24,d50262049,112,9,4,0.0,47.0,49.0
